Date,State,Total_Storage_BCM,Total_Capacity_BCM,Percent_Full
2023-01-01,Telangana,8.28,22.12,37.45
2023-02-01,Telangana,7.76,22.12,35.07
2023-03-01,Telangana,7.59,22.12,34.3
2023-04-01,Telangana,7.13,22.12,32.22
2023-05-01,Telangana,5.84,22.12,26.4
2023-06-01,Telangana,6.83,22.12,30.89
2023-07-01,Telangana,7.78,22.12,35.15
2023-08-01,Telangana,9.59,22.12,43.33
2023-09-01,Telangana,10.5,22.12,47.48
2023-10-01,Telangana,10.76,22.12,48.62
2023-11-01,Telangana,10.1,22.12,45.65
2023-12-01,Telangana,9.32,22.12,42.14
2024-01-01,Telangana,9.01,22.12,40.73
2024-02-01,Telangana,7.93,22.12,35.84
2024-03-01,Telangana,7.19,22.12,32.51
2024-04-01,Telangana,6.19,22.12,27.99
2024-05-01,Telangana,5.24,22.12,23.71
2024-06-01,Telangana,6.5,22.12,29.37
2024-07-01,Telangana,8.05,22.12,36.41
2024-08-01,Telangana,8.66,22.12,39.13
2024-09-01,Telangana,10.25,22.12,46.35
2024-10-01,Telangana,10.16,22.12,45.94
2024-11-01,Telangana,10.33,22.12,46.68
2024-12-01,Telangana,9.45,22.12,42.72
2023-01-01,Andhra Pradesh,12.23,31.94,38.29
2023-02-01,Andhra Pradesh,11.91,31.94,37.28
2023-03-01,Andhra Pradesh,10.9,31.94,34.13
2023-04-01,Andhra Pradesh,10.51,31.94,32.9
2023-05-01,Andhra Pradesh,9.63,31.94,30.17
2023-06-01,Andhra Pradesh,10.32,31.94,32.3
2023-07-01,Andhra Pradesh,11.29,31.94,35.36
2023-08-01,Andhra Pradesh,12.41,31.94,38.86
2023-09-01,Andhra Pradesh,13.17,31.94,41.23
2023-10-01,Andhra Pradesh,13.72,31.94,42.95
2023-11-01,Andhra Pradesh,13.47,31.94,42.17
2023-12-01,Andhra Pradesh,12.51,31.94,39.15
2024-01-01,Andhra Pradesh,11.93,31.94,37.37
2024-02-01,Andhra Pradesh,10.87,31.94,34.03
2024-03-01,Andhra Pradesh,9.91,31.94,31.03
2024-04-01,Andhra Pradesh,9.1,31.94,28.5
2024-05-01,Andhra Pradesh,8.18,31.94,25.6
2024-06-01,Andhra Pradesh,9.68,31.94,30.3
2024-07-01,Andhra Pradesh,10.64,31.94,33.3
2024-08-01,Andhra Pradesh,12.1,31.94,37.9
2024-09-01,Andhra Pradesh,12.59,31.94,39.42
2024-10-01,Andhra Pradesh,12.42,31.94,38.89
2024-11-01,Andhra Pradesh,12.3,31.94,38.52
2024-12-01,Andhra Pradesh,11.74,31.94,36.75
2023-01-01,Delhi,24.06,33.15,72.59
2023-02-01,Delhi,22.92,33.15,69.13
2023-03-01,Delhi,22.26,33.15,67.16
2023-04-01,Delhi,22.08,33.15,66.6
2023-05-01,Delhi,21.89,33.15,66.03
2023-06-01,Delhi,23.33,33.15,70.38
2023-07-01,Delhi,24.62,33.15,74.27
2023-08-01,Delhi,26.99,33.15,81.43
2023-09-01,Delhi,28.03,33.15,84.55
2023-10-01,Delhi,27.5,33.15,82.96
2023-11-01,Delhi,27.53,33.15,83.04
2023-12-01,Delhi,27.06,33.15,81.64
2024-01-01,Delhi,26.24,33.15,79.15
2024-02-01,Delhi,25.22,33.15,76.08
2024-03-01,Delhi,24.49,33.15,73.88
2024-04-01,Delhi,23.98,33.15,72.33
2024-05-01,Delhi,22.94,33.15,69.2
2024-06-01,Delhi,24.52,33.15,73.96
2024-07-01,Delhi,25.4,33.15,76.63
2024-08-01,Delhi,26.86,33.15,81.03
2024-09-01,Delhi,27.32,33.15,82.42
2024-10-01,Delhi,27.16,33.15,81.94
2024-11-01,Delhi,27.05,33.15,81.59
2024-12-01,Delhi,26.12,33.15,78.79
2023-01-01,West Bengal,8.77,17.34,50.6
2023-02-01,West Bengal,8.45,17.34,48.71
2023-03-01,West Bengal,7.34,17.34,42.34
2023-04-01,West Bengal,6.83,17.34,39.37
2023-05-01,West Bengal,5.83,17.34,33.64
2023-06-01,West Bengal,6.31,17.34,36.4
2023-07-01,West Bengal,7.06,17.34,40.69
2023-08-01,West Bengal,7.73,17.34,44.56
2023-09-01,West Bengal,9.44,17.34,54.46
2023-10-01,West Bengal,9.39,17.34,54.14
2023-11-01,West Bengal,9.42,17.34,54.35
2023-12-01,West Bengal,8.28,17.34,47.75
2024-01-01,West Bengal,7.69,17.34,44.34
2024-02-01,West Bengal,7.36,17.34,42.45
2024-03-01,West Bengal,6.59,17.34,38.03
2024-04-01,West Bengal,6.25,17.34,36.07
2024-05-01,West Bengal,5.26,17.34,30.35
2024-06-01,West Bengal,6.02,17.34,34.7
2024-07-01,West Bengal,6.28,17.34,36.23
2024-08-01,West Bengal,7.98,17.34,46.03
2024-09-01,West Bengal,10.11,17.34,58.29
2024-10-01,West Bengal,9.57,17.34,55.2
2024-11-01,West Bengal,9.68,17.34,55.84
2024-12-01,West Bengal,8.49,17.34,48.95
2023-01-01,Karnataka,28.46,39.09,72.82
2023-02-01,Karnataka,27.82,39.09,71.17
2023-03-01,Karnataka,26.53,39.09,67.87
2023-04-01,Karnataka,25.81,39.09,66.04
2023-05-01,Karnataka,25.21,39.09,64.49
2023-06-01,Karnataka,26.61,39.09,68.06
2023-07-01,Karnataka,27.14,39.09,69.43
2023-08-01,Karnataka,28.21,39.09,72.16
